sentence,label
手机摄影有什么需要注意的？,科技
华为P20的优点和缺点都有哪些？,科技
当格力霸气进军美国，而董明珠要实现当初夸下的海口！,科技
荣耀总裁赵明回应苹果挖走53名AI研发团队传闻：纯属造谣,科技
焊林院一周年：焊林院是谁？焊林院为什么而奋斗？,科技
空姐遇害，滴滴道歉，妙龄少女深夜出行为何屡遭不测？,科技
手机死机不能关机怎么办？,科技
缺少属地藩篱，运营商套餐该怎么设计,科技
联想CEO杨元庆发内部信成立智能设备业务集团（IDG）,科技
华为云政务解决方案：让数据多跑路，群众少跑腿,科技
相芯科技FaceUnity宣布完成1.2亿元A轮融资,科技
不争气的手机屏幕厂商，三星还要独霸OLED屏幕多久？,科技
马云带你走进成功走入未来生活,科技
价格差距很大，是选择xbox one s还是天蝎座？,科技
联想在短码上没有支持华为是不是谣言？,科技
如何客观评价联想总裁杨元庆？,科技
张一鸣马化腾互怼：“可以理解为诽谤”,科技
腾讯摊上大事啦！遭九大厂商联合围剿,科技
Google I/O：更高性能TPU、自主打电话谷歌助理，还有自动驾驶,科技
手机必备的排名前20的app有哪些？,科技
银行卡不绑定任何第三方支付软件，里面的资金就真的没有被盗刷的可能吗？,科技
麒麟970玩游戏卡顿吗？,科技
苹果系统iOS11.3.1要不要升，升级后有什么bug？哪些手机不要升级？,科技
小米mix 2s值得买吗？,科技
小米的历史，是全球产业在短短几年内如何发生根本变化的代表,科技
联想被踢出恒生指数，是什么导致了联想现在的这种境地？,科技
正方科技，深耕智能化电池领域的佼佼者,科技
网红进入拼公司拼团队时代？独狼时代以经过去？,科技
小白如何提高苹果手机拍摄的技巧？,科技
如果英特尔一直以挤牙膏的方式研发CPU，CPU的性能是否会进入一段停滞期？,科技
360手机可以用别的系统吗？,科技
为什么网上很多人把单反和专业挂钩？,科技
汽车的一键启动打火是如何实现的？,科技
为什么新买的手机号，半夜总是有陌生电话打进来？,科技
P2P的利息那么高，为什么会有人找P2P平台借钱？,科技
手机上短信显示“回复TD退订”，为什么回复之后没用？,科技
apple id忘记了怎么办？,科技
iPhone6s plus个人热点开启后没人连接耗电也会很快嘛，长期这样是否会对手机电池产生影响？,科技
小米进化论：看小米如何“得人心”,科技
如果王兴不卖掉校内，校内有机会成为中国的Facebook吗？,科技
为什么现在越来越多的人爱玩手机？,科技
福特想把汽车和摩托车融为一体，让人们彻底告别拥堵,科技
最近看到市面上出了很多无屏电视，什么品牌的无屏电视最好？,科技
获北极光天使轮融资，「光鉴科技」想要把手机“齐刘海”做更小、更低功耗,科技
「干货」FANUC机器人的电池更换,科技
《绝地求生》里衣服在哪兑换人民币？,科技
想赚的零花钱？教你一招日入60-80,科技
未来几年银行业会有大的变革吗？,科技
多年安卓用户使用苹果是种什么样的体验？,科技
我的焕驰前减震有异响，过凹凸不平的时候会咣当一声，是什么原因？,科技
坤鹏论：张一鸣朋友圈抱怨“借口封杀” 腾讯直接出王炸马化腾,科技
美团送餐双向收费大家怎么看？,科技
“互联网+”下的云计算概念股 能否成为掘金点？附相关概念股,科技
手机指纹锁指纹不灵敏了，怎么办？,科技
怎么评价潘乱写的《腾讯没有梦想》？,科技
华为nova2是最好看的手机么吗？,科技
哪个微信公众号免费小程序？,科技
今年淘宝店还可以做吗？,科技
互联网科技时代先人一步！BIM+AR/VR在建筑领域的应用,科技
中国手机好还是美国手机好？,科技
马云把阿里交给你，一天之后收回，你会干什么？,科技
这就是差距！滴滴被负面所扰，优步已经开始研制“空中出租车”！,科技
马化腾怒怼张一鸣 你站腾讯还是抖音,科技
为什么会出现“富人用华为，穷人用苹果？,科技
联想会成为下一个金立吗？,科技
关于联想5G标准投票，你怎么看？,科技
怎么看待2017魅族黄章复出？,科技
手机不贴膜真的会刮花屏幕吗？,科技
pdf转换成word的几种常用方法介绍,科技
苹果公布iOS 11.4 beta3，两大系统Bug被修复，你觉得值得升级吗？,科技
越来越少人用滴滴打车的原因是什么？,科技
威图手机为什么这么贵？,科技
立刻出行完成B轮融资 蚂蚁金服领投,科技
传统行业的电商有前途吗？平台电商运营更有前景还是传统电商运营？,科技
iOS 11.4第四个最新测试版放出：苹果狂修复问题Bug,科技
Aibee获亿级行业投资，拓展精准零售新业态,科技
OPPO手机的品牌价值体现在哪些方面？,科技
微信用户请注意，按下这里手机缓存自动消失，三年不用清理手机,科技
马云：不读书也挺好！王健林不赞同,科技
腾讯为什么不借版权为由起诉网易的《荒野行动》？,科技
1598元！小米生态链企业发布新款扫地机器人：路径规划+扫拖一体,科技
如何投资区块链，区块链投资方式有哪些？,科技
为什么阿里，腾讯，百度和京东都是在开曼岛注册的？,科技
富士康作为世界500强企业，为什么会选择在兰考建厂？,科技
他才是真正的中国首富，一年赚的钱比马云一辈子赚的都多,科技
微信上卖童装怎样能卖好？,科技
HTC的新旗舰U12+来了，这款手机能拯救HTC吗？,科技
诺基亚又推出新入门级功能机，值得入手吗？,科技
现在广电宽带一个月多少钱？,科技
精益求精打造极致体验，OPPO 荣获天猫TES“年度消费者体验奖”,科技
2018新财富500富人榜 马化腾排名第一,科技
这些顶级网络加密货币你需要了解一下！,科技
PS人像后期磨皮什么方法最简单？,科技
请相信公信宝！,科技
巨头博弈，眯会儿车载共享按摩垫如何突破？,科技
为什么全球媒体都紧盯阿里巴巴的最新财报？,科技
互联网点餐哪个平台好呢？,科技
高德起诉滴滴事件是怎么回事？,科技
"5G, 华为正式宣布：再见，苹果",科技
如何评价任正非和柳传志这两个人？,科技
来南京的苏宁总部参加红米S2发布会！真机上手，999块你怎么看？,科技
你手机里有哪些好用的app？,科技
90后斯坦福毕业当CEO，打脸扎克伯格，娶名模当老婆,科技
小米6和小米note3你会选哪一个？,科技
荣耀10的128G和现已降价mate10 128G，哪个更值得买？,科技
如何看待二更食堂《托你们的福，那个杀害空姐的司机，正躺在家数钱》一文？,科技
阿里虽然在美国上市，为什么不敢公然在美国卖货？,科技
传统汽车电商的转型之路（二）,科技
如果中国所有手机厂商都拒绝使用高通芯片，会有什么后果？,科技
在街上手机店铺 中小微商家的经营之选,科技
禧云国际完成A轮融资，一站式服务百万团餐创业者,科技
微软之大败局（一）：当年如日中天微软的MSN是如何输给腾讯QQ的,科技
腾讯乘车码攻下深圳大本营 智慧出行迎来新时代,科技
马云：没有比尔盖茨忙，我不会这么成功，马云一直做这个商业模式,科技
华为、高通5g标准之争，联想的投票是否真的决定了华为的惜败？,科技
又一腾讯系公司要上市！250亿美元新霸主，马云李彦宏紧张不？,科技
新型高级恶意软件“ZooPark”曝光 可偷打电话偷拍视频照片,科技
腾讯旗下五大游戏工作室，哪个工作室实力更强？,科技
为什么有人说腾讯永远不会成为一家伟大的公司？,科技
联想是个什么性质的企业？它为什么要把5G标准长码投给高通？对它以后的发展是好是坏？,科技
摩拜在七城市宣布免押金 看看有你家？,科技
太空接近于真空，飞行器的反作用力从哪里来？,科技
未来30年将无工可打，互联网行业是最佳创业商机！,科技
美国夫妻发明的筷子，售价竟为152元人民币，到底神奇在哪里？,科技
微信小程序里有哪些好玩的小游戏？,科技
小米科技的生态圈未来会是什么样子？,科技
OPPO R15和小米mix2s哪个好？,科技
拿什么赶走你？我的焦虑,科技
云计算技术正在发生的6点改变,科技
充电时能玩手机吗？手机电量应该用完再充电吗？最实用的充电方法,科技
云计算是互联网时代信息技术发展和信息服务需求共同作用下的产物,科技
如果联想给华为的短码投票，中国的5G是否拥有专利权？是否还能挽回？,科技
数媒行业未来的发展会是怎样？,科技
“洗之朗签约腾讯，智慧健康数据云全面启动”,科技
苹果回应大数据“杀熟”是开发者行为，苹果没有责任吗？,科技
如何才能制造出虫洞之类的东西呢？,科技
5G投票门，联想应该如何应对？,科技
小米8周年纪念版手机曝光 这才是月底发布会主角,科技
电信宽带注销？,科技
港交所IPO新规难言缓解A股压力,科技
中国第一善——佛山何享健，捐74.6亿元，居胡润慈善榜榜首！,科技
支付宝内测升级，余额宝不再限额，该不该升级？,科技
它可以让你节省几个G的手机内存，囊括六大主流音乐平台音乐资源,科技
美团打车高额补贴消失，接单量骤减下降约五成,科技
华为稳居第一小米逆势增长，国产手机正在瓜分全球市场,科技
联想还能活多久？,科技
如何用PS把自己的相片做成微信星空头像？,科技
美国人对互联网的未来开始质疑了,科技
Kavout试验田收益率超95%股票型基金，AI要淘汰人类分析师,科技
俞凌雄马云异口同声：创业没钱是借口，商机面前你该怎么做,科技
为什么阿里巴巴、百度、小米、360、盛大网络都在向深圳转移？,科技
谷歌Chrome OS重磅升级：画中画,科技
库克把苹果交给你，一天之后收回，你会干什么？,科技
中国邮政启动绿色邮政行动,科技
怎么用手机进行编程？,科技
18年前的刘强东，2令人泪流满面的珍贵视频！,科技
等待，小米的智慧,科技
为什么BAT杀不死“慢节奏”的网易？,科技
OPPO手机信号差的要死？修改下这个接入点设置，信号马上满格！,科技
小米什么机型在2000以内可以流畅吃鸡？,科技
警惕暗藏“李鬼”的二维码支付,科技
微信这三个开关一定要关掉，不然手机会越用越卡，赶紧试一试,科技
在将来5G网上线之后，iphone x会支持5G网吗？,科技
除了QQ、微信、微博还有什么社交软件可以推荐？,科技
物联网将引领智慧社区走向新的台阶,科技
ps有哪些实用好看的插件？,科技
token分类的五个维度,科技
周黑鸭拥抱新零售，全国首家无人店刚刚开业！,科技
安卓手机太耗电了怎么办？简单几步可以让你的手机节省不少的电量,科技
谷歌带领着人工智能即将淘汰苹果，并终将淘汰我们,科技
稳定的实力，灵活的规划，在新兴虚拟货币中独迈阿币别具一格,科技
Android P抢先上手：谷歌最雄心勃勃的一次更新,科技
为什么中国出口美国的多为高科技产品，而美国出口的却多为农产品？,科技
现在流行的“爱回收、奢回收”发展前景大不大？,科技
我没钱只买得起盗版书，这可耻吗？,科技
你以为小米是个百货公司？我来告诉你雷军在下多大一盘棋！,科技
酷派称小米侵犯其六项专利，并要求小米停售相关产品并赔偿，这事大家怎么看？,科技
让机器像你一样听得懂音乐,科技
疯狂的区块链，这回居然打进了设计大拿圈,科技
如何用PS换人头？,科技
微信可以设置无边框头像了，赶快学，再不会就out了,科技
谷歌发布Android P测试版，合作伙伴诺基亚首批尝鲜,科技
哪个型号的华为手机好一点？,科技
一加手机性能怎么样？,科技
腾讯没有梦想？,科技
雷军把小米交给你，一天之后收回，你会干什么？,科技
win10自带的显卡驱动与N卡官网驱动有差异吗？这对显卡性能有影响吗？,科技
BAT AI芯片布局盘点 谁是“中国芯”新希望？,科技
教你手机恶搞小技能，只要别人触碰你的手机，手机自动碎屏！,科技
尼康D800相机3600万像素，而尼康D4相机为什么只有1620万像素却比D800贵？,科技
为什么会出现“富人用华为，穷人用苹果？,科技
阿里云连续12季度规模翻番 国内云计算市场日趋繁荣,科技
如何快速提升淘宝店铺的自然搜索流量？,科技
虎牙直播上市，是腾讯给了勇气？风光背后暗藏危机,科技
苹果：7 月起，iOS App「必须」支持 iPhone X 刘海屏,科技
《腾讯没有梦想》确已变成不死之身,科技
RoboMaster机器人大赛将上线斗鱼，多支高校战队参数，火爆全国！,科技
高新8电子侦察机性能怎么样？,科技
如何看待冒充马化腾回应《腾讯没有梦想》的作者？,科技
如何用手机做自媒体今日头条，发布视频文章图集，实操赚钱教程,科技
INT负责人殷相玉：一切不以落地为目的的区块链都是耍流氓,科技
怎么优化网站排名，怎么优化关键词？,科技
获得3C认证的锤子新机、1TB内存的坚果R1 老罗发布会消息汇总,科技
去培训班能学到技术还是去奶茶店当学徒能学到技术？,科技
任正非先生在华为仅占股1.4％，会不会被其他占股股东联合推下掌门人的位置？,科技
鸿海工业帝国：皇冠上的明珠富士康之（二）,科技
E3 2018 发布会时间汇总，附时间表（完整版）,科技
用旧手机当机顶盒看电视，应该怎样连接？,科技
C语言与C++的差异是什么？,科技
IBM转型完成，向前看，加速跑,科技
去普通手机店修苹果手机，维修员让我几个小时再来取手机，我的零件会不会被换掉？,科技
国内最好的 linux桌面系统，软件中心上线钉钉、微信、企业微信,科技
360N7和小米6X哪个性价比高？,科技
中国移动，联通，电信，哪家不是中国的？,科技
